Weight,Tenant1,Tenant2
7,ROBINSON DEPARTMENT STORE,ACTIVE | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,AIS 3BB FIBRE3
7,ROBINSON DEPARTMENT STORE,ANYAMANEE
7,ROBINSON DEPARTMENT STORE,ARENA | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,ART TOY MODEL
7,ROBINSON DEPARTMENT STORE,AYATANA
7,ROBINSON DEPARTMENT STORE,B&T GAMING
7,ROBINSON DEPARTMENT STORE,BAGGU AND ME
7,ROBINSON DEPARTMENT STORE,BAITONG
7,ROBINSON DEPARTMENT STORE,BB TOYS
7,ROBINSON DEPARTMENT STORE,BG PHONE
7,ROBINSON DEPARTMENT STORE,BOON YUANG
7,ROBINSON DEPARTMENT STORE,BOONSOM HOMEMADE
7,ROBINSON DEPARTMENT STORE,Balmy Inhaler
7,ROBINSON DEPARTMENT STORE,Blue Bangkok
7,ROBINSON DEPARTMENT STORE,CALLA CREATIV | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,CASE FOR YOU
7,ROBINSON DEPARTMENT STORE,CHAN SHOP
7,ROBINSON DEPARTMENT STORE,CHANOTHAI KRUANG-NGOEN
7,ROBINSON DEPARTMENT STORE,CHAROVA | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,CHER HEMP FABRIC
7,ROBINSON DEPARTMENT STORE,CHEWIES COOKIES
7,ROBINSON DEPARTMENT STORE,CHUNWOWENS
7,ROBINSON DEPARTMENT STORE,CLAYATIVE GALLERY
7,ROBINSON DEPARTMENT STORE,COCO SUGAR
7,ROBINSON DEPARTMENT STORE,COTTON HOMEY
7,ROBINSON DEPARTMENT STORE,Caliiico shop
7,ROBINSON DEPARTMENT STORE,DAMA ART
7,ROBINSON DEPARTMENT STORE,DAWOOD VOYAGEL TRAVEL
7,ROBINSON DEPARTMENT STORE,DAYS IN AND DAYS OUT
7,ROBINSON DEPARTMENT STORE,DENTIST SMILE
7,ROBINSON DEPARTMENT STORE,DESING BY BOOM
7,ROBINSON DEPARTMENT STORE,DOI TUNG
7,ROBINSON DEPARTMENT STORE,DUANGKHAM ACCESSORIES
7,ROBINSON DEPARTMENT STORE,Dress Production
7,ROBINSON DEPARTMENT STORE,EGO SPORT | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,ESTIMATE | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,ETERNITY COFFEE
7,ROBINSON DEPARTMENT STORE,FLOW JEWELRY
7,ROBINSON DEPARTMENT STORE,FOLK
7,ROBINSON DEPARTMENT STORE,FOODPARK (KADLUANG)
7,ROBINSON DEPARTMENT STORE,FRIDAY'S PROJECT
7,ROBINSON DEPARTMENT STORE,FRUITORY
7,ROBINSON DEPARTMENT STORE,FUNNY KIDS | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,Foniji Collections
7,ROBINSON DEPARTMENT STORE,GASOLINE & GARAGE | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,GRACO | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,GRAPH COFFEE
7,ROBINSON DEPARTMENT STORE,GUARANTEE
7,ROBINSON DEPARTMENT STORE,HANG PETCH THONG MUNGKORN THONG YAOWARAJ
7,ROBINSON DEPARTMENT STORE,HAPPY COFFEE
7,ROBINSON DEPARTMENT STORE,HARU AND FRIEND
7,ROBINSON DEPARTMENT STORE,HAVE A HUG STUDIO
7,ROBINSON DEPARTMENT STORE,HEEL CARE | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,HERB BASICS
7,ROBINSON DEPARTMENT STORE,HERB CARE
7,ROBINSON DEPARTMENT STORE,HOLEN
7,ROBINSON DEPARTMENT STORE,HOM STUDIO
7,ROBINSON DEPARTMENT STORE,HOMEWORKS
7,ROBINSON DEPARTMENT STORE,HUMAN
7,ROBINSON DEPARTMENT STORE,Hanky House
7,ROBINSON DEPARTMENT STORE,IQ STYLE | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,JUN
7,ROBINSON DEPARTMENT STORE,KAMPOOJOO
7,ROBINSON DEPARTMENT STORE,KANOM BANN ARJARN
7,ROBINSON DEPARTMENT STORE,KANYA
7,ROBINSON DEPARTMENT STORE,KARNTONKAO COTTON
7,ROBINSON DEPARTMENT STORE,KAWA | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,KAWAII!
7,ROBINSON DEPARTMENT STORE,KD | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,KEWALIN GEMS
7,ROBINSON DEPARTMENT STORE,KHRONGKANLUANG
7,ROBINSON DEPARTMENT STORE,KINGDOW
7,ROBINSON DEPARTMENT STORE,KLANG MOBILE
7,ROBINSON DEPARTMENT STORE,KONGTHONG 88
7,ROBINSON DEPARTMENT STORE,KORNVALAI
7,ROBINSON DEPARTMENT STORE,KR PERFUME
7,ROBINSON DEPARTMENT STORE,KUBKOWPINONG
7,ROBINSON DEPARTMENT STORE,LA MER + CLARINS
7,ROBINSON DEPARTMENT STORE,LAUNDRY&DRY CLEANING
7,ROBINSON DEPARTMENT STORE,LOCCITANE | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,LUOFU EXTERNAL | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,LalenTogether
7,ROBINSON DEPARTMENT STORE,MADAM LEOPARD
7,ROBINSON DEPARTMENT STORE,MAELLE
7,ROBINSON DEPARTMENT STORE,MAEPLOYKAITOD
7,ROBINSON DEPARTMENT STORE,MARIA PIA | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,MONNAPHAT KANOMTHAI
7,ROBINSON DEPARTMENT STORE,MOOPING
7,ROBINSON DEPARTMENT STORE,MOUNTAIN PEAK | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,MT SERVICE 2528
7,ROBINSON DEPARTMENT STORE,MUAK
7,ROBINSON DEPARTMENT STORE,Madam Louise
7,ROBINSON DEPARTMENT STORE,Malailux
7,ROBINSON DEPARTMENT STORE,NANA BAKERY
7,ROBINSON DEPARTMENT STORE,NONG KENG
7,ROBINSON DEPARTMENT STORE,NORTH COFFEE
7,ROBINSON DEPARTMENT STORE,NORTH DEGREE COFFEE ROASTERY
7,ROBINSON DEPARTMENT STORE,NUAN BAKERY
7,ROBINSON DEPARTMENT STORE,NUJIRALAI JEWELRY
7,ROBINSON DEPARTMENT STORE,Nalanns crafts
7,ROBINSON DEPARTMENT STORE,OKSIS
7,ROBINSON DEPARTMENT STORE,ONETH1NG
7,ROBINSON DEPARTMENT STORE,ORNSA
7,ROBINSON DEPARTMENT STORE,PASSPORT OFFICE
7,ROBINSON DEPARTMENT STORE,PHUENNUKGUITAR
7,ROBINSON DEPARTMENT STORE,PHUFASAI
7,ROBINSON DEPARTMENT STORE,PIBOON WATCH SERVICE
7,ROBINSON DEPARTMENT STORE,PLOY GIFT SHOP
7,ROBINSON DEPARTMENT STORE,PLY | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,POMPOM SHOP
7,ROBINSON DEPARTMENT STORE,PURE EYES & BEAUTY
7,ROBINSON DEPARTMENT STORE,QUEENS BAKER
7,ROBINSON DEPARTMENT STORE,RAKLANNA
7,ROBINSON DEPARTMENT STORE,RED COFFEE
7,ROBINSON DEPARTMENT STORE,ROSSANIYOM JEANS | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,RUENMAITHAIYAI
7,ROBINSON DEPARTMENT STORE,RYOTA SHABU & SUKI BUFFET
7,ROBINSON DEPARTMENT STORE,ReCYCLE STATION
7,ROBINSON DEPARTMENT STORE,SALA DESIGN
7,ROBINSON DEPARTMENT STORE,SEANFANG THE GARDEN TREE
7,ROBINSON DEPARTMENT STORE,SENSEI
7,ROBINSON DEPARTMENT STORE,SENT2
7,ROBINSON DEPARTMENT STORE,SHOFUKU
7,ROBINSON DEPARTMENT STORE,SHON COFFEE
7,ROBINSON DEPARTMENT STORE,SIAMPHUTHAI
7,ROBINSON DEPARTMENT STORE,SIMPLICITY | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,SOCKS
7,ROBINSON DEPARTMENT STORE,SQUISHY LOVER
7,ROBINSON DEPARTMENT STORE,SUANPATHUMTHIP
7,ROBINSON DEPARTMENT STORE,SUNDAY KEBAB WRAP & ROLLS
7,ROBINSON DEPARTMENT STORE,TAKE CARE SERVICE
7,ROBINSON DEPARTMENT STORE,THAI VINTAGE MASSAGE
7,ROBINSON DEPARTMENT STORE,THANADKLUAY
7,ROBINSON DEPARTMENT STORE,THE WISDOM MEDICAL CLINIC
7,ROBINSON DEPARTMENT STORE,THONGLOR ART VILLAGE
7,ROBINSON DEPARTMENT STORE,TIAN TIAN TEA
7,ROBINSON DEPARTMENT STORE,TIME CLINIC | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,TOM LAYCUT PROFESSIONAL
7,ROBINSON DEPARTMENT STORE,TOUCHA X LITTLE BAO
7,ROBINSON DEPARTMENT STORE,TREE
7,ROBINSON DEPARTMENT STORE,TTN | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,TTQ.THONTONQ
7,ROBINSON DEPARTMENT STORE,TW CAKE
7,ROBINSON DEPARTMENT STORE,Taitier Soap
7,ROBINSON DEPARTMENT STORE,Thong Ampai
7,ROBINSON DEPARTMENT STORE,ULTIMA II | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED
7,ROBINSON DEPARTMENT STORE,UP 5 | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,VALENTINO RUDY | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,WHANNZHAI
7,ROBINSON DEPARTMENT STORE,ZOO YORK | Robinson Department Store
7,ROBINSON DEPARTMENT STORE,baramio coffee
7,ROBINSON DEPARTMENT STORE,buakawgallery
7,ROBINSON DEPARTMENT STORE,house of thailand
7,ROBINSON DEPARTMENT STORE,kp fruits
7,ROBINSON DEPARTMENT STORE,sala design2
6,LEMO,ARROW
5,LEMO,360 SWIM
5,LEMO,@SERVICE
5,LEMO,ACCESSORIES GOODS
5,LEMO,AFTER TEL 6395
5,LEMO,ALBEDO
5,LEMO,ALL ABOUT GIFTS
5,LEMO,ALL TEA HOUSE
5,LEMO,Amnuay Scent
5,LEMO,BB PHONE 168
5,LEMO,BONSOIR
5,LEMO,CALM
5,LEMO,CAMERA
5,LEMO,CHIN GOLD&JEWELRY
5,LEMO,CHIN JEWELRY
5,LEMO,CODEC CREATION
5,LEMO,CODY FACTORY
5,LEMO,CRANBERRY
5,LEMO,CUZTOMO
5,LEMO,Cheersy
5,LEMO,Cushy Walk
5,LEMO,DD PHONE
5,LEMO,DUTCH MILL
5,LEMO,Dodge
5,LEMO,Donnaphat Shop
5,LEMO,Easy Interactive
5,LEMO,FONNEY JEWELRY
5,LEMO,FUFUSTUDIO
5,LEMO,FUN INFINITY
5,LEMO,Feelgood Cooling Blanket
5,LEMO,Fleur De Lis
5,LEMO,GIVE TO YOU
5,LEMO,GLORYCHIME MUSIC BOX(LICENSED PRODUCT)
5,LEMO,Gashapon by BIG ONE
5,LEMO,HAVE A GOOD CASE
5,LEMO,HENNEY BEAR
5,LEMO,HI CHA
5,LEMO,IDEVICE SELECTION
5,LEMO,INFLAT DECOR
5,LEMO,IT CITY INFINITY (MOBILE PHONE)
5,LEMO,ITSHU.BKK
5,LEMO,Inomata
5,LEMO,JAMILLE
5,LEMO,JM KIBKAE
5,LEMO,Jenim Sports
5,LEMO,K.CASE
5,LEMO,KC TOYS
5,LEMO,KIKUYA
5,LEMO,KITO
5,LEMO,KLEAN SQUARE
5,LEMO,LOOK
5,LEMO,LOOK SUNGLASSES
5,LEMO,LUSCINIA
5,LEMO,MAYU SHOP
5,LEMO,MC CLASS MUSIC
5,LEMO,MICHELIN PILLOW
5,LEMO,MODEL & TOYS
5,LEMO,MORTIMER ENGLISH CLUB
5,LEMO,MY CRAFT
5,LEMO,Mixx
5,LEMO,Muunique
5,LEMO,NAME CARD TCG
5,LEMO,NO PROBLEM
5,LEMO,Nawapan Shop
5,LEMO,Newday 368
5,LEMO,OCEANA
5,LEMO,OKAMI YAKINIKU
5,LEMO,OMNI
5,LEMO,OPTION
5,LEMO,PHONE PHONE
5,LEMO,PLAYHOUSE
5,LEMO,PLAYHOUSE SHOPPINGBAG
5,LEMO,Prostar Academy
5,LEMO,RAM RUAY TELEPHONE
5,LEMO,RAMRUAY TELEPHONE
5,LEMO,REDFOX  MINI4WD
5,LEMO,RINA BAG
5,LEMO,SAINT CROISSANT
5,LEMO,SBARSHA
5,LEMO,SHU SOFA
5,LEMO,SKY PLUS
5,LEMO,SKY PRIMES DENTAL CLINIC
5,LEMO,SPORT LAND
5,LEMO,STRAW FACT
5,LEMO,SUIMI SLEEP
5,LEMO,SUPER PEEM FASHION SHOP
5,LEMO,SURASANG
5,LEMO,Schu'zz
5,LEMO,Sheph Home
5,LEMO,Simply fineday
5,LEMO,Sunday Story
5,LEMO,TANYA 99
5,LEMO,TAR MOBILE
5,LEMO,THE BLACK DRAGON
5,LEMO,THE ROOM'S
5,LEMO,TIK TOK PHONE
5,LEMO,TOKEIYA SERVICE & MAINTENANCE
5,LEMO,UDOMSUP36
5,LEMO,WANDERLUST.CRAFTED
5,LEMO,ZHOELALA
5,LEMO,balloon by uptheair
5,LEMO,น้ำมนต์ ขนมญี่ปุ่น
5,LEMO,น้ำมนต์ รถของเล่น
5,LEMO,ผู้ประกอบการ HUB STATION 1
5,LEMO,พาที พารวย มหาเศรษฐี
5,LEMO,ภารวย
5,LEMO,มันเพลิน BY STORY DOG
5,LEMO,รักษ์นุช โมบาย
5,LEMO,วิน วิน ถุงเท้า
5,LEMO,ศาลเจ้าญี่ปุ่นชินโต
5,LEMO,อาหารอิสาน
5,LEMO,เอ็กซ์ เทเลคอม
5,LEMO,โอ โมบาย ช็อป
5,LEMO,ใจถึง
5,ROBINSON,40 PHONE
5,ROBINSON,AGE FREE
5,ROBINSON,ARAYA PHONE
5,ROBINSON,BAKERY LOBBY
5,ROBINSON,BARBIE BLINK CLINIC
5,ROBINSON,BLESS CLOSET
5,ROBINSON,B_Time
5,ROBINSON,CENTER OPTIC
5,ROBINSON,CHERNAME
5,ROBINSON,CHOMPOO
5,ROBINSON,CYBORG KONG
5,ROBINSON,Cameron คาเมร่อน
5,ROBINSON,ESCENT NAKHON SI THAMMARAT
5,ROBINSON,FRUIT STATION
5,ROBINSON,GUKGIG
5,ROBINSON,HARRIS CASE
5,ROBINSON,HOP CHAFE
5,ROBINSON,Hongdae Station
5,ROBINSON,INFINITY _ STUDIO
5,ROBINSON,JKM MOBILE
5,ROBINSON,Jew Very
5,ROBINSON,K-IT
5,ROBINSON,KAE KAE SHOP
5,ROBINSON,KIDS CLUB
5,ROBINSON,KK MOBILE
5,ROBINSON,KK MOBILE2
5,ROBINSON,KOREA BRANDNAME
5,ROBINSON,Kinplearn
5,ROBINSON,LADY IT'S
5,ROBINSON,LIGOR
5,ROBINSON,LOCKER
5,ROBINSON,LOVE KEY BIG KEY
5,ROBINSON,Mr. Socks
5,ROBINSON,N&R FASHION
5,ROBINSON,NANA.CASE
5,ROBINSON,NAVA PHONE
5,ROBINSON,NINETIES X SO.ON
5,ROBINSON,NOIR STATION
5,ROBINSON,O-ZONE 2
5,ROBINSON,OA TELECOM
5,ROBINSON,P.J. MOBILE
5,ROBINSON,P.R.สปอร์ต
5,ROBINSON,PHOPTHON
5,ROBINSON,Prem bag & hat
5,ROBINSON,RICHY
5,ROBINSON,RUNWAY
5,ROBINSON,Rainy nail
5,ROBINSON,SIX
5,ROBINSON,SMART PLAY
5,ROBINSON,SUNDAY
5,ROBINSON,TG Pro
5,ROBINSON,THEEDA SHOP
5,ROBINSON,TK เทเลโฟน
5,ROBINSON,TO B 1
5,ROBINSON,VIVO EFFECTIVE
5,ROBINSON,Viva Mama
5,ROBINSON,WANDERWOODS
5,ROBINSON,bubb
5,ROBINSON,pokpag
5,ROBINSON,กิ๊ปช็อป คาเฟ่
5,ROBINSON,กุลโมบาย
5,ROBINSON,กุ๊กกิ๊ก
5,ROBINSON,ก๋วยเตี๋ยวอิสลาม
5,ROBINSON,ข้าวแกงยายวรรณ
5,ROBINSON,ข้าวแกงอิสลาม
5,ROBINSON,ครัวมารีสา ฮาลาลฟู้ด
5,ROBINSON,คลินิกเวชกรรมธนบุรี ทุ่งสง
5,ROBINSON,จรัญยา ป้ากับลุงปรุงก๋วยเตี๋ยว go
5,ROBINSON,จิรโชค
5,ROBINSON,ชานายช่าง
5,ROBINSON,ชามีตังค์
5,ROBINSON,ซิมโมบาย
5,ROBINSON,ต.โต้ง
5,ROBINSON,ทรัพย์เศรษฐี
5,ROBINSON,นภัทรโมบาย
5,ROBINSON,นภัทรโมบาย 2
5,ROBINSON,นายอ้วน หม่าล่า&ชาบู
5,ROBINSON,ปิ้งปุด
5,ROBINSON,ฝ้ายส้มตำ 3 รส
5,ROBINSON,พระพร ยีนส์
5,ROBINSON,พรีเมี่ยม ไดมอนด์
5,ROBINSON,พี่ตู่
5,ROBINSON,มาซ่าเทเลโฟน
5,ROBINSON,มาซ่าเทเลโฟน3
5,ROBINSON,มุกสวย
5,ROBINSON,รส-สลิม
5,ROBINSON,รสมือ บะหมี่จับกังเนื้อแดง​ by​ บังป้อม
5,ROBINSON,รัติฟาร์ม เพ็ทช็อป
5,ROBINSON,ร้านซูชิ เชฟนงค์
5,ROBINSON,ลูกบอลโมบาย
5,ROBINSON,ล้านนมหมี
5,ROBINSON,ล้านนายอ้วนแซ่บนัว
5,ROBINSON,วาดฝัน
5,ROBINSON,ศิณไทย THAI MASSAGE
5,ROBINSON,สุ SMART SHOP
5,ROBINSON,สุภคพร เจมส์
5,ROBINSON,หมูแดงโมบาย
5,ROBINSON,ห้างทองแม่มาลี
5,ROBINSON,ห้างทองไทยสมบูรณ์
5,ROBINSON,อัญชันบุรี
5,ROBINSON,อิคคิว
5,ROBINSON,อิงอิ๋ง
5,ROBINSON,อ้ายอ้วน
5,ROBINSON,เก๋ไก๋
5,ROBINSON,เครื่องถมอุดม
5,ROBINSON,เคาน์เตอร์บริการไปรษณีย์ เซ็นทรัลพลาซา นครศรีธรรมราช
5,ROBINSON,เจนโมบาย2
5,ROBINSON,เดอะชิค ข้าวหมกเมืองคอน(อิสลาม)
5,ROBINSON,เย็นซ่า น้ำอัดลม
5,ROBINSON,แม่หนิงตามสั่ง&สเต็กเด็กแนว
5,ROBINSON,แอน โมบายไลฟ์
5,ROBINSON,โกปี๊ 1942 นครศรีธรรมราช
5,ROBINSON,โกโก้ร้านไอต้น
5,ROBINSON,โมบายช็อป
5,ROBINSON,โมบายไลฟ์
5,ROBINSON,โสรญา
5,ROBINSON,ไข่เจียวแฟนซี
5,28 PLEASE,CENTRAL DEPARTMENT STORE
5,CENTRAL DEPARTMENT STORE,ALL LOVE
5,CENTRAL DEPARTMENT STORE,ALUMINUM BY FANTASY
5,CENTRAL DEPARTMENT STORE,ANGLE PHONE
5,CENTRAL DEPARTMENT STORE,ART ZONE
5,CENTRAL DEPARTMENT STORE,AT EXCLUSIVE
5,CENTRAL DEPARTMENT STORE,AU BON PAIN
5,CENTRAL DEPARTMENT STORE,BAAN SUKHAPHARBDEE THE PRIVILEGE
5,CENTRAL DEPARTMENT STORE,BANK OPTIC
5,CENTRAL DEPARTMENT STORE,BKT MOBILE 1
5,CENTRAL DEPARTMENT STORE,BOONNUM KHAOMANGAI
5,CENTRAL DEPARTMENT STORE,DANAI
5,CENTRAL DEPARTMENT STORE,DOMINIC
5,CENTRAL DEPARTMENT STORE,EBM MOBILE GROUP
5,CENTRAL DEPARTMENT STORE,ENERGY WELLNESS PLUS
5,CENTRAL DEPARTMENT STORE,EVOLUTION SILVER
5,CENTRAL DEPARTMENT STORE,FIRST TIME SERVICE
5,CENTRAL DEPARTMENT STORE,FOCUS CITY
5,CENTRAL DEPARTMENT STORE,GEMICK
5,CENTRAL DEPARTMENT STORE,GNC
5,CENTRAL DEPARTMENT STORE,HAIR DÉCOR
5,CENTRAL DEPARTMENT STORE,HOKKAIDO MILK
5,CENTRAL DEPARTMENT STORE,ID MOBILE
5,CENTRAL DEPARTMENT STORE,ISBN HAIR UNIT
5,CENTRAL DEPARTMENT STORE,ISETAN
5,CENTRAL DEPARTMENT STORE,KANMAG
5,CENTRAL DEPARTMENT STORE,KAO-I NUAT FA THAO SKS
5,CENTRAL DEPARTMENT STORE,KONGKA FURNITURE
5,CENTRAL DEPARTMENT STORE,LUCKY FRAME
5,CENTRAL DEPARTMENT STORE,MOMO LAND
5,CENTRAL DEPARTMENT STORE,MRS PHIL JIN JOUNG
